Batting Statistics by Player Ranking in the American Leage
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
1                        Oliver Drake             TB                       1                        0                        1                        0                        0                        0                        1                        0                        0                        0                        0                        1.000                    1.000                    1.000                    2.000                    0.1                      
                         Gregory Soto             DET                      2                        0                        2                        0                        0                        0                        0                        0                        0                        0                        0                        1.000                    1.000                    1.000                    2.000                    0.1                      
                         John Means               BAL                      1                        0                        1                        0                        0                        0                        0                        0                        0                        1                        0                        1.000                    1.000                    1.000                    2.000                    0.1                      
4                        Trent Thornton           TOR                      3                        2                        2                        0                        0                        0                        0                        0                        0                        0                        0                        .667                     .667                     .667                     1.333                    0.1                      
5                        Zack Greinke             HOU                      2                        0                        1                        0                        0                        0                        0                        0                        1                        0                        1                        .500                     .500                     .500                     1.000                    -0.0                     
                         David Price              BOS                      2                        0                        1                        0                        0                        0                        1                        0                        0                        0                        1                        .500                     .500                     .500                     1.000                    0.1                      
                         Jesse Chavez             TEX                      2                        0                        1                        0                        0                        0                        0                        0                        0                        0                        1                        .500                     .500                     .500                     1.000                    0.1                      
                         Brett Anderson           OAK                      8                        1                        4                        0                        0                        0                        0                        0                        0                        0                        2                        .500                     .500                     .500                     1.000                    0.2                      
                         Matthew Boyd             DET                      2                        0                        1                        0                        0                        0                        0                        0                        0                        0                        1                        .500                     .500                     .500                     1.000                    0.1                      
10                       Homer Bailey             KC/OAK                   5                        0                        2                        0                        0                        0                        1                        0                        0                        0                        1                        .400                     .400                     .400                     .800                     0.1                      
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
11                       Cesar Puello             LAA                      41                       6                        16                       3                        0                        3                        12                       0                        0                        3                        8                        .390                     .500                     .683                     1.183                    0.7                      
12                       Jorge Bonifacio          KC                       20                       3                        7                        3                        0                        0                        3                        0                        0                        1                        7                        .350                     .381                     .500                     .881                     0.1                      
13                       Tim Anderson             CHW                      498                      81                       167                      32                       0                        18                       56                       17                       5                        15                       109                      .335                     .357                     .508                     .865                     4.0                      
14                       Luis Arraez              MIN                      326                      54                       109                      20                       1                        4                        28                       2                        2                        36                       29                       .334                     .399                     .439                     .838                     1.8                      
15                       Trevor Cahill            LAA                      3                        0                        1                        0                        0                        0                        0                        0                        0                        0                        1                        .333                     .333                     .333                     .667                     0.0                      
16                       DJ LeMahieu              NYY                      602                      109                      197                      33                       2                        26                       102                      5                        2                        46                       90                       .327                     .375                     .518                     .893                     6.0                      
17                       Yoan Moncada             CHW                      511                      83                       161                      34                       5                        25                       79                       10                       3                        40                       154                      .315                     .367                     .548                     .915                     4.6                      
18                       Gio Urshela              NYY                      442                      73                       139                      34                       0                        21                       74                       1                        1                        25                       87                       .314                     .355                     .534                     .889                     3.4                      
19                       Yordan Alvarez           HOU                      313                      58                       98                       26                       0                        27                       78                       0                        0                        52                       94                       .313                     .412                     .655                     1.067                    3.7                      
20                       Michael Brantley         HOU                      575                      88                       179                      40                       2                        22                       90                       3                        2                        51                       66                       .311                     .372                     .503                     .875                     4.6                      
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
21                       Bo Bichette              TOR                      196                      32                       61                       18                       0                        11                       21                       4                        4                        14                       50                       .311                     .358                     .571                     .930                     2.1                      
22                       Rafael Devers            BOS                      647                      129                      201                      54                       4                        32                       115                      8                        8                        48                       119                      .311                     .361                     .555                     .916                     5.3                      
23                       Nelson Cruz              MIN                      454                      81                       141                      26                       0                        41                       108                      0                        1                        56                       131                      .311                     .392                     .639                     1.031                    4.3                      
24                       Xander Bogaerts          BOS                      614                      110                      190                      52                       0                        33                       117                      4                        2                        76                       122                      .309                     .384                     .555                     .939                     5.2                      
25                       Austin Hays              BAL                      68                       12                       21                       6                        0                        4                        13                       2                        0                        7                        13                       .309                     .373                     .574                     .947                     0.7                      
26                       Danny Mendick            CHW                      39                       6                        12                       0                        0                        2                        4                        0                        0                        1                        11                       .308                     .325                     .462                     .787                     0.3                      
27                       Hanser Alberto           BAL                      524                      62                       160                      21                       2                        12                       51                       4                        4                        16                       50                       .305                     .329                     .422                     .751                     3.1                      
28                       J.D. Martinez            BOS                      575                      98                       175                      33                       2                        36                       105                      2                        0                        72                       138                      .304                     .383                     .557                     .939                     3.3                      
                         Victor Reyes             DET                      276                      29                       84                       16                       5                        3                        25                       9                        3                        14                       64                       .304                     .336                     .431                     .767                     1.3                      
30                       Whit Merrifield          KC                       681                      105                      206                      41                       10                       16                       74                       20                       10                       45                       126                      .302                     .348                     .463                     .811                     4.0                      
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
31                       Reese McGuire            TOR                      97                       14                       29                       7                        0                        5                        11                       0                        0                        7                        18                       .299                     .346                     .526                     .872                     1.0                      
32                       Jose Altuve              HOU                      500                      89                       149                      27                       3                        31                       74                       6                        5                        41                       82                       .298                     .353                     .550                     .903                     3.7                      
33                       Yuli Gurriel             HOU                      564                      85                       168                      40                       2                        31                       104                      5                        3                        37                       65                       .298                     .343                     .541                     .884                     3.2                      
34                       Brock Holt               BOS                      259                      38                       77                       14                       2                        3                        31                       1                        0                        28                       57                       .297                     .369                     .402                     .771                     1.0                      
35                       Hunter Pence             TEX                      286                      53                       85                       17                       1                        18                       59                       6                        1                        26                       69                       .297                     .358                     .552                     .910                     1.7                      
36                       Yasiel Puig              CLE                      182                      25                       54                       15                       1                        2                        23                       5                        2                        21                       44                       .297                     .377                     .423                     .800                     0.5                      
37                       Alex Bregman             HOU                      554                      122                      164                      37                       2                        41                       112                      5                        1                        119                      83                       .296                     .423                     .592                     1.015                    8.4                      
38                       Mookie Betts             BOS                      597                      135                      176                      40                       5                        29                       80                       16                       3                        97                       101                      .295                     .391                     .524                     .915                     6.8                      
39                       Jorge Polanco            MIN                      631                      107                      186                      40                       7                        22                       79                       4                        3                        60                       116                      .295                     .356                     .485                     .841                     5.7                      
40                       Tommy La Stella          LAA                      292                      49                       86                       8                        0                        16                       44                       0                        0                        20                       28                       .295                     .346                     .486                     .832                     1.5                      

RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
41                       Ryan McBroom             KC                       75                       8                        22                       5                        0                        0                        6                        0                        0                        7                        25                       .293                     .361                     .360                     .721                     0.0                      
                         Seth Brown               OAK                      75                       11                       22                       8                        2                        0                        13                       1                        0                        7                        23                       .293                     .361                     .453                     .815                     0.8                      
43                       Nick Solak               TEX                      116                      19                       34                       6                        1                        5                        17                       2                        0                        15                       29                       .293                     .393                     .491                     .884                     0.5                      
44                       George Springer          HOU                      479                      96                       140                      20                       3                        39                       96                       6                        2                        67                       113                      .292                     .383                     .591                     .974                     6.2                      
45                       Mike Trout               LAA                      470                      110                      137                      27                       2                        45                       104                      11                       2                        110                      120                      .291                     .438                     .645                     1.083                    8.3                      
46                       Harold Castro            DET                      354                      30                       103                      10                       4                        5                        38                       4                        2                        9                        86                       .291                     .305                     .384                     .689                     -0.2                     
47                       Trey Mancini             BAL                      602                      106                      175                      38                       2                        35                       97                       1                        0                        63                       143                      .291                     .364                     .535                     .899                     3.3                      
48                       Austin Meadows           TB                       530                      83                       154                      29                       7                        33                       89                       12                       7                        54                       131                      .291                     .364                     .558                     .922                     3.8                      
49                       Eric Sogard              TOR/TB                   396                      59                       115                      23                       2                        13                       40                       8                        0                        38                       63                       .290                     .353                     .457                     .810                     1.9                      
50                       David Fletcher           LAA                      596                      83                       173                      30                       4                        6                        49                       8                        3                        55                       64                       .290                     .350                     .384                     .734                     3.8                      
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
51                       Tyler Naquin             CLE                      274                      34                       79                       19                       0                        10                       34                       4                        2                        14                       66                       .288                     .325                     .467                     .792                     1.4                      
52                       Giancarlo Stanton        NYY                      59                       8                        17                       3                        0                        3                        13                       0                        0                        12                       24                       .288                     .403                     .492                     .894                     0.4                      
53                       Ramon Laureano           OAK                      434                      79                       125                      29                       0                        24                       67                       13                       2                        27                       123                      .288                     .340                     .521                     .860                     3.8                      
54                       Shohei Ohtani            LAA                      384                      51                       110                      20                       5                        18                       62                       12                       3                        33                       110                      .286                     .343                     .505                     .848                     2.5                      
55                       Marcus Semien            OAK                      657                      123                      187                      43                       7                        33                       92                       10                       8                        87                       102                      .285                     .369                     .522                     .892                     8.1                      
56                       Cameron Maybin           NYY                      239                      48                       68                       17                       0                        11                       32                       9                        6                        30                       72                       .285                     .364                     .494                     .858                     1.5                      
57                       Francisco Lindor         CLE                      598                      101                      170                      40                       2                        32                       74                       22                       5                        46                       98                       .284                     .335                     .518                     .854                     4.7                      
58                       Jose Abreu               CHW                      634                      85                       180                      38                       1                        33                       123                      2                        2                        36                       152                      .284                     .330                     .503                     .834                     2.4                      
59                       Danny Santana            TEX                      474                      81                       134                      23                       6                        28                       81                       21                       6                        25                       151                      .283                     .324                     .534                     .857                     2.3                      
60                       Avisail Garcia           TB                       489                      61                       138                      25                       2                        20                       72                       10                       4                        31                       125                      .282                     .332                     .464                     .796                     2.0                      
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
61                       Miguel Cabrera           DET                      493                      41                       139                      21                       0                        12                       59                       0                        0                        48                       108                      .282                     .346                     .398                     .744                     0.0                      
